koi_pdisposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_time0,koi_duration,ra,dec,koi_kepmag,koi_score,koi_smass,koi_srad,koi_smet,koi_slogg,koi_steff,koi_tce_plnt_num,koi_model_snr,koi_insol,koi_teq,koi_prad,koi_ror,koi_depth,koi_impact,koi_eccen,koi_disposition_CANDIDATE,koi_disposition_CONFIRMED,koi_disposition_FALSE POSITIVE
CANDIDATE,0,0,0,0,9.48803557,170.53875,2455003.539,2.9575,291.93423,48.141651,15.347,1.0,0.919,0.927,0.14,4.467,5455.0,1.0,35.8,93.59,793.0,2.26,0.022344,615.8,0.146,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,54.4183827,162.51384,2454995.514,4.507,291.93423,48.141651,15.347,0.969,0.919,0.927,0.14,4.467,5455.0,2.0,25.8,9.11,443.0,2.83,0.027954,874.8,0.586,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,19.89913995,175.850252,2455008.85,1.7822,297.00482,48.134129,15.436,0.0,0.961,0.868,-0.18,4.544,5853.0,1.0,76.3,39.3,638.0,14.6,0.154046,10829.0,0.969,0.0,1.0,0.0,0.0
FALSE POSITIVE,0,1,0,0,1.736952453,170.307565,2455003.308,2.40641,285.53461,48.28521,15.597,0.0,0.836,0.791,-0.52,4.564,5805.0,1.0,505.6,891.96,1395.0,33.46,0.387394,8079.2,1.276,0.0,0.0,0.0,1.0
CANDIDATE,0,0,0,0,2.525591777,171.59555,2455004.596,1.6545,288.75488,48.2262,15.509,1.0,1.095,1.046,0.07,4.438,6031.0,1.0,40.9,926.16,1406.0,2.75,0.024064,603.3,0.701,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,11.09432054,171.20116,2455004.201,4.5945,296.28613,48.22467,15.714,1.0,1.053,0.972,-0.08,4.486,6046.0,1.0,66.5,114.81,835.0,3.9,0.036779,1517.5,0.538,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,4.13443512,172.97937,2455005.979,3.1402,296.28613,48.22467,15.714,1.0,1.053,0.972,-0.08,4.486,6046.0,2.0,40.2,427.65,1160.0,2.77,0.026133,686.0,0.762,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,2.56658897,179.55437,2455012.554,2.429,296.28613,48.22467,15.714,0.992,1.053,0.972,-0.08,4.486,6046.0,3.0,15.0,807.74,1360.0,1.59,0.014983,226.5,0.755,0.0,0.0,1.0,0.0
FALSE POSITIVE,0,1,1,0,7.36178958,132.25053,2454965.251,5.022,298.86435,42.151569,12.66,0.0,1.358,1.958,0.0,3.986,6227.0,1.0,47.7,767.22,1342.0,39.21,0.183387,233.7,1.169,0.0,0.0,0.0,1.0
CANDIDATE,0,0,0,0,16.06864674,173.621937,2455006.622,3.5347,286.99948,48.37579,15.841,1.0,0.801,0.848,0.16,4.485,5031.0,1.0,161.9,30.75,600.0,5.76,0.062161,4914.3,0.052,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,2.470613377,122.763305,2454955.763,1.74319,286.80847,49.316399,11.338,0.811,0.971,0.964,-0.06,4.457,5820.0,1.0,4304.3,761.46,1339.0,13.04,0.123871,14231.0,0.818,0.0,0.0,1.0,0.0
CANDIDATE,0,1,0,0,2.204735417,121.3585417,2454954.359,3.88864,292.24728,47.969521,10.463,1.0,1.449,1.952,0.14,4.019,6440.0,1.0,5945.9,4148.92,2048.0,16.1,0.075522,6674.7,0.224,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,3.522498429,121.1194228,2454954.119,3.19843,281.28812,42.45108,13.563,0.998,1.132,1.451,-0.04,4.169,6225.0,1.0,1741.5,1264.67,1521.0,14.59,0.092086,9145.7,0.631,0.0,0.0,1.0,0.0
CANDIDATE,0,0,0,0,3.709214104,133.98318,2454966.983,2.6302,295.64871,48.49556,12.772,1.0,0.974,1.022,-0.04,4.407,5833.0,2.0,50.6,500.46,1206.0,1.16,0.010424,131.1,0.051,0.0,0.0,1.0,0.0
FALSE POSITIVE,0,1,0,0,11.521446064,170.839688,2455003.84,3.6399,297.07993,47.597401,15.472,0.0,0.938,0.848,-0.2,4.554,5795.0,1.0,622.1,75.88,753.0,150.51,1.625358,17984.0,2.483,0.0,0.0,0.0,1.0
FALSE POSITIVE,0,1,0,0,19.40393776,172.484253,2455005.484,12.2155,289.25821,47.635319,15.487,0.0,0.657,0.68,-0.54,4.591,5043.0,1.0,214.7,17.69,523.0,7.18,0.096729,8918.7,0.804,0.0,0.0,0.0,1.0
